method,"EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: biogenic, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: fossil, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, climate change: land use and land use change, global warming potential (GWP100)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, inorganics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, ecotoxicity: freshwater, organics, comparative toxic unit for ecosystems (CTUe)","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, inorganics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, organics, comparative toxic unit for human (CTUh)","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, land use, soil quality index","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, particulate matter formation, impact on human health","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)","EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)"
scenario,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060,tiam-ucl - SSP2-RCP26 - 2025,tiam-ucl - SSP2-RCP26 - 2030,tiam-ucl - SSP2-RCP26 - 2035,tiam-ucl - SSP2-RCP26 - 2040,tiam-ucl - SSP2-RCP26 - 2045,tiam-ucl - SSP2-RCP26 - 2050,tiam-ucl - SSP2-RCP26 - 2060
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus",1946.1869752457087,1691.1341899117085,1551.399328404052,1499.945358790685,1474.168541381724,1469.8918912837162,1481.8303477683332,168896.21646402718,135436.67261582447,107430.72407864855,90493.97057537596,81337.09743520331,75622.64966435009,71809.98182131768,835.5453572300469,837.5295921166279,818.9388646511676,806.7810644767309,772.0449076230692,745.30750877271,726.3158183151351,167644.27960826128,134135.58835018016,106159.64886148386,89226.34412290793,80173.0332289522,74555.76248398887,70812.78169569263,416.39149853583666,463.55467352769097,452.1363525135438,460.8453879913033,392.01929862803524,321.57967158850283,270.88430730991496,4499310.4900607355,4412106.868193752,4366041.602356647,4348394.644433337,4340411.074735602,4345061.391285442,4352002.847474125,4428781.462614561,4341423.441022308,4294887.10170273,4276728.471527653,4268571.464909598,4273391.212333563,4280291.220033443,70529.02744617432,70683.42717144387,71154.5006539169,71666.17290568388,71839.60982600377,71670.17895187908,71711.62744068241,2390948.058219116,2011200.6656122925,1669721.3288533932,1424161.5372159018,1291369.1721212391,1219822.7478677095,1113018.1601474949,230.57207817193873,208.477150468718,196.1591448294028,189.29377202400838,185.5475718973534,184.92407734635543,184.66554882747653,242.76240836934002,214.38456706619792,198.02844107473646,190.26464429674854,186.51683966292853,185.1279278038782,186.4590578880874,2293.375198707176,2024.0616470243904,1868.6069948296451,1797.6064292764627,1766.0748660196557,1752.1061398409765,1769.5166059232108,0.0004482145199145361,0.0004476023838765025,0.0004456844006994598,0.0004482168533746343,0.0004524820773217056,0.00046453745593606093,0.0004721123248393758,0.00031386231207359866,0.00031650400027110053,0.0003144860841773468,0.0003176407552106887,0.00032351381247363795,0.00034168588812487263,0.0003551305083200688,0.0001343522078409374,0.00013109838360540185,0.00013119831652211303,0.00013057609816394556,0.00012896826484806755,0.0001228515678111883,0.000116981816519307,0.017240523852010834,0.01689116914264391,0.016757460798109712,0.01675282748310092,0.016800786923353635,0.016892286717417104,0.017018636391102824,0.016545570570336388,0.016201192130439423,0.01607010811062041,0.016066605764818147,0.016114792173487418,0.016206486428559104,0.016331884824198513,0.0006949532816744481,0.0006899770122044868,0.0006873526874893023,0.0006862217182827721,0.0006859947498662144,0.0006858002888579968,0.0006867515669043071,23200.372773067364,19372.65752186768,17369.27950589706,15019.280407039005,13327.160192501868,12377.125991170253,9376.542290553212,1866211.0120588953,1923807.106657406,1993273.7004439456,1959983.3152393072,1962212.163400214,1964319.7317450088,1993946.904113303,55.34493950309775,55.43881371179739,55.54210461236081,55.56691864626854,55.60895238183345,55.63794448909462,55.70057104836575,0.003589037744030659,0.003759778647883967,0.0036571885131489496,0.003596045095814019,0.0035776848460830914,0.0034945524262270196,0.0034547539264601227,0.01312601982939229,0.011316309681073392,0.010385904109303222,0.010036329712324012,0.009897325516381379,0.00982677570484776,0.010068570427763492,758.0497399102237,681.2614377798702,632.5734624215784,608.0000245505933,593.3112596587116,582.7011817314617,579.264297227237,96215.25274610818,96701.39812107665,95791.94199526182,94389.86479703145,88461.1175343133,83108.28857882827,80760.62753698174
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus",224.29166762655257,141.16270577149027,104.55967558441051,89.09173402364962,80.88206621863375,81.79637995212838,82.72082437243749,36916.42194715161,25799.665687404362,16659.15375876441,8633.599022825554,5784.243118289074,4994.073311415929,4421.91338985443,40.42886086960561,42.680307719121096,43.11928135440412,41.701048458703724,36.506199456065886,31.42773777188533,29.772855360044783,36746.96844642407,25619.777788845127,16470.745371903973,8448.575129339599,5629.787005357917,4869.7355283279,4302.755240700053,129.02463985793918,137.2075908401129,145.28910550603266,143.32284502725108,117.94991347509117,92.91004531614483,89.38529379433152,245977.85981783023,216067.45807327706,198589.7615610165,189542.6869613478,185112.92620394373,186986.65581429974,185624.20571702544,228828.06270249805,198937.11192108953,181346.69879457407,172007.6243441257,167398.82029577217,169282.90668414207,167962.97510004108,17149.79711533218,17130.346152187583,17243.062766442432,17535.06261722208,17714.10590817156,17703.749130157692,17661.230616984365,848697.8243238912,620821.7646977098,448097.38412895845,268995.2932908556,183781.40322264403,132160.15081416615,122417.86527027596,33.4365162128058,20.5768489315241,12.845359914573313,7.300445724980297,4.1752549019912815,4.186764049727471,4.19304512603874,39.06911663408778,27.57718467066107,20.959984645444223,16.504976518179763,14.540262187698186,14.311037944573078,14.419962848617855,363.9670654584459,265.10057646227676,209.29261602851722,173.97505260292127,161.46795088423943,161.09406890294602,162.6544858442574,2.1552867283991836e-05,2.00169264376849e-05,1.9808727282858612e-05,2.0768080281193092e-05,2.1590157995305788e-05,2.2827402807163035e-05,2.2893614709123012e-05,1.593139150258377e-05,1.4575936402988067e-05,1.4175585403506219e-05,1.4811086692577397e-05,1.5427492739693374e-05,1.674029118917395e-05,1.7199844273870046e-05,5.621475781408065e-06,5.440990034696835e-06,5.633141879352392e-06,5.956993588615694e-06,6.162665255612414e-06,6.087111617989086e-06,5.693770435252961e-06,0.0010034529535888888,0.0008929676770005012,0.0008379814874952993,0.0008240189606935946,0.0008249515927221155,0.0008435335490519607,0.0008514686714428542,0.0009706563649217589,0.0008609925885866685,0.0008062054568333085,0.0007919472532385684,0.0007923653017811872,0.0008104453978958303,0.0008182118739184488,3.279658866712982e-05,3.1975088413832724e-05,3.177603066199077e-05,3.207170745502615e-05,3.258629094092838e-05,3.30881511561302e-05,3.3256797524405506e-05,18869.235309106338,12701.077724093198,9525.619398884259,5891.546188467272,2921.9293348773713,587.8481223494063,468.8678080445267,638600.1432642305,664698.1241708264,660448.6048125487,656067.8556163615,657847.130320556,657467.9574863242,662027.0543884056,1.4405392509900186,1.4787800171836845,1.493314704355873,1.5104369001812024,1.53193781339448,1.5529500538684506,1.5616787781350348,0.0006179237280224103,0.0007436090415699094,0.0006164310731564626,0.000395738145577332,0.0003984069944337437,0.0003841594253307233,0.00037476835830105635,0.0025999297434846523,0.0024459310963349814,0.002383617401381651,0.0023491818885434004,0.0023408422219276743,0.002337402588470276,0.002330867181914687,132.44410825831187,104.93946617010764,89.54370894641957,79.86361204669316,76.00829468136948,75.27367469058262,74.70933291766899,26276.159353192812,26122.430307237137,26323.038456214592,24688.222987375655,20142.02160829662,16020.094371246949,15803.519857775935
